clip,text,speaker,language,language_probability
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_029.wav,"to the home, if anybody's still there, and not to, you know, go up and go up and go up, friends, but they don't get to do it.",user_voice,en,0.5336
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_030.wav,"and those small blurs and bonzo's fans, work on stacking for bonzo's whole kind of way.",user_voice,en,0.7443
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_031.wav,"for more performance, maybe we'll be doing it now this is the part that speaking they will find out in a...",user_voice,en,0.6993
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_032.wav,So many hours ago when I had come to agriculture.,user_voice,en,0.2675
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_033.wav,"but I'm sure a lot of new experiences all of you are spreading actors or whoever comes to the right of the first time. You should do it, go, clap.",user_voice,en,0.8839
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_034.wav,"And then the cabin will try to roll out the actors' houses, ensure the civil sectors of the sectors of the sectors of the...",user_voice,en,0.6525
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_035.wav,"I think it's more of a story, so that you know what happened. So, it was a very high-drama rule, we could get a little bit.",user_voice,en,0.6980
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_036.wav,"I told her, I was just too fast in the middle. He didn't stop anywhere. And then I fell.",user_voice,en,0.5076
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_037.wav,"Não estou, não estou, não estou, não estou, não estou, não estou, não estou, não estou, não estou, não estou, não estou, não estou.",user_voice,en,0.2328
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_038.wav,"We were stuck in the machine, I didn't even stop it, and I got out of the car, and I didn't think I wanted to surprise you, tell you what.",user_voice,en,0.5685
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_039.wav,"I don't understand them clearly, but I understand the words, double stop, conlang babu, and puru.",user_voice,en,0.1651
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_040.wav,"А на этом у нас столком, к сожалению, наошел. Вот с папаешьом ценим вельбу. Не сейтен в обдад.",user_voice,en,0.2730
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_041.wav,"..no choose to say sorry, Neha. Cut to, I got to work with you on OG.",user_voice,hi,0.3750
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_042.wav,"So as my part of the post, I will explain this in Telugu. Mimannu, Tava, Suara, Niyandukul.",user_voice,en,0.3255
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_043.wav,"It's because of the power you hold here, me generosity, me humbleness, me the rampant.",user_voice,en,0.7455
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_044.wav,"we have been being that you are, I must say this, many strange translation there, coming into a left loop in castile.",user_voice,en,0.6069
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_045.wav,"We went through Zigon, you know, to put on the top to me. Now, I'm going after the key, it meant a lot. Meek was some challenge when they did it, just to me.",user_voice,en,0.6448
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_046.wav,"Daru, I now you spoke to me with full attention. Shoot low me short and double on day, you and in change just so that I could take up picture with you.",user_voice,en,0.6044
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_047.wav,"It speaks volumes about the person you are. Haraharavira Malu, voice over it, you didn't have to do it. But you stay good.",user_voice,en,0.7936
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_048.wav,"Pavananya, Jainan Gachatana, with me there are no favors. You just have to ask me, course, a mile be there.",user_voice,en,0.6296
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_049.wav,"any time, any way. I'm gonna miss the hubs every day on site on here. In any movie of yours, whether it's a voice or...",user_voice,en,0.5248
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_050.wav,or even if I'm there for a minute or I'm somewhere behind you in the bike I don't get an out of focus. I will happy to be to it for you.,user_voice,en,0.7947
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_051.wav,the only other person I have said this to is Location and I will be the Area Minor. And this last line I am going to look at.,user_voice,en,0.8504
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_052.wav,"my phone and say this and this is why I'm calling you on here. In the country you do says but you feel like family thank you, Paul and you know, it could be.",user_voice,en,0.8057
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_053.wav,"me in Pramushanthu, Mammalini, Anaya, Anipilastano. Thank you once again for everything on air. Thank you so much. Please pardon me.",user_voice,en,0.4354
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_054.wav,"my fellow Guru, a big thank you to all the assistant directors who worked in the film, especially Dorghap, if you are here, I thank him.",user_voice,en,0.7084
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_055.wav,"in my thank you note, because every dialogue of mine he kept saying sir not good sir pronunciation not good sir. Telugu organs will not be.",user_voice,en,0.6479
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_056.wav,"happy said. So, thank you, Durga. But no, thank you. Thank you to all the instructors and all the technicians who worked in the flu. Thank you so much.",user_voice,en,0.6652
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_057.wav,"Once again, thank you, have a nice evening, Sumagaru, you're doing a fantastic job, you look beautiful in this black outfit and it's the anything else that you want to ask me so",user_voice,en,0.7622
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_058.wav,ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy ouchy,user_voice,en,0.6670
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_059.wav,சென்று வருகிறீர்கள் என்று சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்கள் சென்று வருகிறீர்,user_voice,en,0.7130
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_060.wav,पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर पर �,user_voice,hi,0.3616
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_061.wav,"a small part of OG2. I'm hoping I get called. Yes. The universe I'm hoping. But yes, it is.",user_voice,en,0.7410
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_062.wav,any part in his movie or I've told you to in his movie if thing that's a part from me I'll be happy to be there. Surely see you at the pre-release event.,user_voice,en,0.6650
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_063.wav,Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ưー Ư,user_voice,te,0.5418
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_064.wav,"Achya dao! Malay duak vastar hiti charo! Andala gave hoche universe, sarsu stingeru! Negoondu see!",user_voice,hi,0.3777
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_065.wav,this as a universe. So it's solving his hands and serves hands and if they call me I'll be there for sure.,user_voice,en,0.6287
